Date,District,Confirmed,Recovered,Deceased,Active
2020-07-01,Mumbai,79145,44791,4631,29723
2020-07-02,Mumbai,80699,50691,4689,25319
2020-07-03,Mumbai,82074,52392,4762,24920
2020-07-04,Mumbai,83237,53463,4830,24944
2020-07-05,Mumbai,84524,55884,4899,23741
2020-07-06,Mumbai,85724,57152,4938,23634
2020-07-07,Mumbai,86509,58137,5002,23370
2020-07-08,Mumbai,87856,59238,5064,23554
2020-07-09,Mumbai,89124,60195,5132,23797
2020-07-10,Mumbai,90461,61934,5205,23322
2020-07-11,Mumbai,91745,63431,5244,23070
2020-07-12,Mumbai,92988,64872,5288,22828
2020-07-13,Mumbai,94146,65622,5335,23189
2020-07-14,Mumbai,95100,66633,5405,23062
2020-07-15,Mumbai,96474,67830,5467,23177
2020-07-16,Mumbai,97950,67830,5523,24597
2020-07-17,Mumbai,99164,69340,5585,24239
2020-07-18,Mumbai,100350,70492,5650,24208
2020-07-19,Mumbai,101388,71685,5714,23989
2020-07-20,Mumbai,102423,72648,5755,24020
2020-07-21,Mumbai,103368,73555,5817,23996
2020-07-22,Mumbai,104678,75118,5875,23685
2020-07-23,Mumbai,105923,77102,5930,22891
2020-07-24,Mumbai,106980,78259,5984,22737
2020-07-25,Mumbai,108060,78876,6036,23148
2020-07-26,Mumbai,109161,80238,6093,22830
2020-07-27,Mumbai,110182,81944,6132,22106
2020-07-28,Mumbai,110882,84411,6187,20284
2020-07-29,Mumbai,111991,85327,6247,20417
2020-07-30,Mumbai,113199,86447,6300,20452
2020-07-31,Mumbai,114284,87074,6353,20857
2020-08-01,Mumbai,115331,87906,6398,21027
2020-08-02,Mumbai,116436,88299,6447,21690
2020-08-03,Mumbai,117406,90089,6493,20824
2020-08-04,Mumbai,118115,90960,6549,20606
2020-08-05,Mumbai,119240,91673,6591,20976
2020-08-06,Mumbai,120150,92659,6648,20843
2020-08-07,Mumbai,121012,93898,6693,20421
2020-08-08,Mumbai,122316,95354,6751,20211
2020-08-09,Mumbai,123382,96586,6799,19997
2020-08-10,Mumbai,124307,97993,6845,19469
2020-08-11,Mumbai,125224,99147,6893,19184
2020-08-12,Mumbai,126356,100069,6943,19344
2020-08-13,Mumbai,127556,100954,6991,19611
2020-08-14,Mumbai,128535,101860,7038,19637
2020-08-15,Mumbai,127716,102749,7086,17881
2020-08-16,Mumbai,128726,103468,7133,18125
2020-08-17,Mumbai,129479,104301,7173,18005
